date,values
1816-03,76.8
1816-04,79.5
1816-05,81.2
1816-06,78.8
1816-07,77.1
1816-08,77
1816-09,77.8
1816-10,77.1
1816-11,73.3
1816-12,71.4
1817-01,71.9
1817-02,74.2
1817-03,75
1817-04,72.1
1817-05,69.3
1817-06,68.5
1817-07,68.3
1817-08,65.8
1817-09,58.4
1817-10,54
1817-11,56.8
1817-12,58.8
1818-01,57
1818-02,54.6
1818-03,52.9
1818-04,52.6
1818-05,51.7
1818-06,50.3
1818-07,50
1818-08,49.7
1818-09,48.1
1818-10,45.6
1818-11,42.3
1818-12,39.9
1819-01,40
1819-02,39.9
1819-03,38.7
1819-04,37.6
1819-05,38.3
1819-06,39.6
1819-07,39
1819-08,38.5
1819-09,38.9
1819-10,38.9
1819-11,39.6
1819-12,38.6
1820-01,36.1
1820-02,35.3
1820-03,34.6
1820-04,32.7
1820-05,30.2
1820-06,27.5
1820-07,26.2
1820-08,24.8
1820-09,23.3
1820-10,22.7
1820-11,20
1820-12,17.5
1821-01,15.6
1821-02,12.9
1821-03,11.4
1821-04,12
1821-05,12.5
1821-06,11.6
1821-07,9.5
1821-08,7.8
1821-09,8.3
1821-10,9.3
1821-11,9.5
1821-12,9.8
1822-01,10.4
1822-02,10.6
1822-03,10.1
1822-04,8.5
1822-05,6.9
1822-06,6.6
1822-07,6.6
1822-08,6.5
1822-09,5.4
1822-10,3.4
1822-11,2.4
1822-12,1.9
1823-01,1
1823-02,0.3
1823-03,0.2
1823-04,0.2
1823-05,0.2
1823-06,1.6
1823-07,4.5
1823-08,6.7
1823-09,7.4
1823-10,8.7
1823-11,10.3
1823-12,10.5
1824-01,10.4
1824-02,10.5
1824-03,12
1824-04,15.2
1824-05,17
1824-06,15.6
1824-07,13.1
1824-08,12.3
1824-09,14.2
1824-10,14.6
1824-11,14.4
1824-12,16.4
1825-01,19.6
1825-02,23.4
1825-03,24.8
1825-04,23.8
1825-05,23.9
1825-06,26.2
1825-07,28.6
1825-08,29.6
1825-09,30.8
1825-10,33.2
1825-11,35.8
1825-12,38.4
1826-01,41.4
1826-02,43.9
1826-03,45.1
1826-04,47.8
1826-05,52.1
1826-06,57.2
1826-07,61.6
1826-08,64.8
1826-09,68.3
1826-10,71.3
1826-11,74.5
1826-12,77.5
1827-01,78.2
1827-02,78.5
1827-03,81.6
1827-04,84.1
1827-05,85
1827-06,84.1
1827-07,83.8
1827-08,86.3
1827-09,88
1827-10,89.5
1827-11,92.9
1827-12,98
1828-01,101.7
1828-02,104.1
1828-03,105.8
1828-04,105.7
1828-05,106.2
1828-06,106.9
1828-07,106.3
1828-08,104.6
1828-09,104
1828-10,106.9
1828-11,107.7
1828-12,104.5
1829-01,105.4
1829-02,108
1829-03,108.3
1829-04,108.6
1829-05,109.5
1829-06,110.9
1829-07,112.3
1829-08,114.5
1829-09,116.9
1829-10,118.5
1829-11,119.2
1829-12,118.6
1830-01,114.7
1830-02,109.5
1830-03,108.3
1830-04,110.9
1830-05,113.7
1830-06,116.4
1830-07,117.9
1830-08,116
1830-09,115.1
1830-10,112.1
1830-11,106.6
1830-12,102.4
1831-01,100.3
1831-02,100.7
1831-03,99.3
1831-04,95
1831-05,89.7
1831-06,83.4
1831-07,78.6
1831-08,77.8
1831-09,75.5
1831-10,70.9
1831-11,69.2
1831-12,69
1832-01,66.4
1832-02,61
1832-03,55.7
1832-04,51.9
1832-05,48.1
1832-06,46
1832-07,44.5
1832-08,40.3
1832-09,34.5
1832-10,29.8
1832-11,26.2
1832-12,22.4
1833-01,20.1
1833-02,19.4
1833-03,19.5
1833-04,18.7
1833-05,17.2
1833-06,15.4
1833-07,13.8
1833-08,13.5
1833-09,13.2
1833-10,12.6
1833-11,12.2
1833-12,12.4
1834-01,13
1834-02,13
1834-03,12.9
1834-04,14.1
1834-05,17
1834-06,20.4
1834-07,22.3
1834-08,22.9
1834-09,24.4
1834-10,29.7
1834-11,36.2
1834-12,40.4
1835-01,45.7
1835-02,53.1
1835-03,63.1
1835-04,74.2
1835-05,83.9
1835-06,91.7
1835-07,100.4
1835-08,111.8
1835-09,123
1835-10,134.1
1835-11,144.5
1835-12,155.6
1836-01,165.9
1836-02,173.2
1836-03,176.2
1836-04,178.7
1836-05,183.1
1836-06,193.5
1836-07,209.3
1836-08,221
1836-09,228.2
1836-10,230.4
1836-11,230.1
1836-12,232.4
1837-01,237.9
1837-02,243
1837-03,244.9
1837-04,244
1837-05,242.1
1837-06,235.8
1837-07,227.5
1837-08,218.2
1837-09,212.3
1837-10,211.9
1837-11,212.9
1837-12,210.3
1838-01,202.1
1838-02,194.5
1838-03,189.1
1838-04,185.3
1838-05,180.9
1838-06,175.4
1838-07,169.2
1838-08,167.7
1838-09,164.6
1838-10,155.7
1838-11,145.4
1838-12,136.8
1839-01,132.4
1839-02,134.4
1839-03,142.1
1839-04,146.2
1839-05,145.6
1839-06,143.9
1839-07,141.1
1839-08,138.4
1839-09,136.7
1839-10,136.3
1839-11,137.6
1839-12,138.3
1840-01,136.2
1840-02,129.4
1840-03,120.2
1840-04,113.6
1840-05,110.1
1840-06,108.4
1840-07,103.8
1840-08,95.8
1840-09,89.1
1840-10,84.7
1840-11,82.8
1840-12,83.2
1841-01,81.6
1841-02,78.2
1841-03,74.4
1841-04,69.9
1841-05,65.7
1841-06,62.2
1841-07,61
1841-08,60.2
1841-09,59
1841-10,57.6
1841-11,53.7
1841-12,48.3
1842-01,44.6
1842-02,42.4
1842-03,40.3
1842-04,39.7
1842-05,41.8
1842-06,41.8
1842-07,39.8
1842-08,38
1842-09,35.8
1842-10,33.7
1842-11,32.2
1842-12,31.3
1843-01,30.4
1843-02,29.1
1843-03,27.1
1843-04,23.8
1843-05,20.1
1843-06,18.2
1843-07,17.6
1843-08,18.1
1843-09,19.3
1843-10,20.4
1843-11,20.5
1843-12,19.4
1844-01,19.7
1844-02,21.4
1844-03,22.4
1844-04,23.7
1844-05,24.3
1844-06,24.3
1844-07,26
1844-08,29.2
1844-09,33.3
1844-10,37.9
1844-11,42.9
1844-12,47.3
1845-01,49.9
1845-02,51.1
1845-03,53.3
1845-04,56.2
1845-05,59.5
1845-06,64.1
1845-07,67.7
1845-08,69.1
1845-09,71
1845-10,73.3
1845-11,75
1845-12,78.2
1846-01,81.7
1846-02,84.4
1846-03,91.3
1846-04,97.8
1846-05,100.3
1846-06,102.1
1846-07,104.2
1846-08,105.4
1846-09,106.5
1846-10,106.3
1846-11,105.7
1846-12,108.2
1847-01,110
1847-02,116.4
1847-03,126.1
1847-04,138.4
1847-05,152.5
1847-06,161
1847-07,170.8
1847-08,182.1
1847-09,188.4
1847-10,194.3
1847-11,200.5
1847-12,205.4
1848-01,214.5
1848-02,219.9
1848-03,215.2
1848-04,207.6
1848-05,202.6
1848-06,204.4
1848-07,209.2
1848-08,213.3
1848-09,216
1848-10,216.7
1848-11,216.7
1848-12,213.4
1849-01,207.4
1849-02,200.1
1849-03,196.7
1849-04,193.6
1849-05,189.9
1849-06,186.4
1849-07,176.8
1849-08,167.2
1849-09,162.7
1849-10,157
1849-11,150.9
1849-12,148.5
1850-01,144.6
1850-02,141
1850-03,139.9
1850-04,139.3
1850-05,135.7
1850-06,129.4
1850-07,126.3
1850-08,127.4
1850-09,127.3
1850-10,126.8
1850-11,127.9
1850-12,127.4
1851-01,126.6
1851-02,126.1
1851-03,124.3
1851-04,122.2
1851-05,121.2
1851-06,121.7
1851-07,121.9
1851-08,118.3
1851-09,114.9
1851-10,115.4
1851-11,115.5
1851-12,113.6
1852-01,112.8
1852-02,111.8
1852-03,108
1852-04,106
1852-05,106.6
1852-06,104.8
1852-07,100.6
1852-08,96.6
1852-09,92.9
1852-10,89.6
1852-11,86.6
1852-12,84.5
1853-01,84.2
1853-02,85.4
1853-03,85.9
1853-04,83.6
1853-05,79.6
1853-06,75.9
1853-07,72.1
1853-08,68.3
1853-09,65.1
1853-10,62.1
1853-11,59.6
1853-12,57.3
1854-01,53.6
1854-02,48.7
1854-03,45.1
1854-04,41.9
1854-05,39.5
1854-06,39.3
1854-07,38.9
1854-08,38
1854-09,37
1854-10,35
1854-11,32.1
1854-12,29.6
1855-01,26.9
1855-02,24.5
1855-03,21.7
1855-04,19.7
1855-05,17.5
1855-06,14.2
1855-07,11.8
1855-08,10.3
1855-09,8.5
1855-10,7.3
1855-11,6.7
1855-12,6
1856-01,6.3
1856-02,6.9
1856-03,7.5
1856-04,7.4
1856-05,7.3
1856-06,7.9
1856-07,9.3
1856-08,10.5
1856-09,11.1
1856-10,11.8
1856-11,14.5
1856-12,17.6
1857-01,19.8
1857-02,22.1
1857-03,26
1857-04,31.8
1857-05,36.6
1857-06,40.8
1857-07,45.2
1857-08,49.4
1857-09,55.7
1857-10,62
1857-11,65.1
1857-12,68.4
1858-01,73.4
1858-02,79.1
1858-03,85.2
1858-04,92.2
1858-05,97.8
1858-06,101.8
1858-07,107.6
1858-08,115.3
1858-09,122.1
1858-10,128.5
1858-11,136.1
1858-12,143.4
1859-01,149.8
1859-02,157
1859-03,163.1
1859-04,167
1859-05,172.4
1859-06,177.1
1859-07,178.1
1859-08,178.1
1859-09,178.8
1859-10,178.4
1859-11,178.5
1859-12,181.5
1860-01,185
1860-02,186.2
1860-03,184.6
1860-04,181.5
1860-05,179.7
1860-06,180.9
1860-07,180.4
1860-08,178
1860-09,177.3
1860-10,179.6
1860-11,177.8
1860-12,172.2
1861-01,167.5
1861-02,163
1861-03,160.6
1861-04,157.9
1861-05,152.6
1861-06,147.8
1861-07,146.7
1861-08,145.7
1861-09,140.1
1861-10,132
1861-11,129.1
1861-12,129.4
1862-01,128.7
1862-02,126.7
1862-03,124.1
1862-04,121
1862-05,118.8
1862-06,115.4
1862-07,111.1
1862-08,109.3
1862-09,110.5
1862-10,111.3
1862-11,109.4
1862-12,105.1
1863-01,98.5
1863-02,94.1
1863-03,89.4
